timestamp,action,position,price,price_source,exit_reason,instrument_token,symbol
2025-06-19 13:36:15.809317,ENTRY,LONG,98812.0,best_ask,,116027143,MCX:GOLDM25JULFUT
2025-06-19 17:41:10.622572,EXIT,LONG,98740.0,live,STOPLOSS,116027143,MCX:GOLDM25JULFUT
2025-06-19 17:41:53.304493,ENTRY,SHORT,98722.0,best_bid,,116027143,MCX:GOLDM25JULFUT
2025-06-19 19:25:44.699505,EXIT,SHORT,98915.0,live,STOPLOSS,116027143,MCX:GOLDM25JULFUT
2025-06-19 19:26:03.570688,ENTRY,LONG,98897.0,best_ask,,116027143,MCX:GOLDM25JULFUT
2025-06-19 23:15:45.308928,EXIT,LONG,98818.0,live,STOPLOSS,116027143,MCX:GOLDM25JULFUT
2025-06-19 23:16:28.614340,ENTRY,SHORT,98810.0,best_bid,,116027143,MCX:GOLDM25JULFUT
2025-06-19 13:36:15.854115,ENTRY,SHORT,345.0,best_bid,,114244103,MCX:NATGASMINI25JUNFUT
2025-06-19 13:36:15.900107,ENTRY,SHORT,106892.0,best_bid,,112787463,MCX:SILVERMIC25JUNFUT
2025-06-19 22:00:33.649127,EXIT,SHORT,107130.0,live,STOPLOSS,112787463,MCX:SILVERMIC25JUNFUT
2025-06-19 22:00:52.476669,ENTRY,LONG,107131.0,best_ask,,112787463,MCX:SILVERMIC25JUNFUT
2025-06-19 13:36:34.842110,ENTRY,SHORT,7820.5,best_bid,,14606594,NFO:MCX25JUNFUT
2025-06-19 13:36:34.887887,ENTRY,SHORT,1641.0,best_bid,,5420545,NSE:CDSL
2025-06-19 13:36:34.932438,ENTRY,SHORT,2603.1,best_bid,,5013761,NSE:BSE
2025-06-19 13:36:34.974924,ENTRY,SHORT,484.35,best_bid,,4574465,NSE:JSWENERGY
2025-06-19 13:36:35.020994,ENTRY,SHORT,745.15,best_bid,,387073,NSE:INDHOTEL
2025-06-19 13:36:35.071071,ENTRY,SHORT,384.6,best_bid,,877057,NSE:TATAPOWER
2025-06-19 13:36:35.124442,ENTRY,SHORT,394.4,best_bid,,98049,NSE:BEL
2025-06-19 13:36:35.168722,ENTRY,SHORT,179.78,best_bid,,56321,NSE:IEX
