timestamp,action,position,price,price_source,exit_reason,instrument_token,symbol
2025-06-19 10:57:20.467486,ENTRY,SHORT,98778.0,best_bid,,116027143,MCX:GOLDM25JULFUT
2025-06-19 10:57:20.528400,ENTRY,LONG,344.5,best_ask,,114244103,MCX:NATGASMINI25JUNFUT
2025-06-19 10:57:20.572678,ENTRY,LONG,107945.0,best_ask,,112787463,MCX:SILVERMIC25JUNFUT
2025-06-19 11:22:30.365368,EXIT,LONG,107684.0,live,DIRECTION_REVERSAL,112787463,MCX:SILVERMIC25JUNFUT
2025-06-19 11:22:46.513093,ENTRY,SHORT,107670.0,best_bid,,112787463,MCX:SILVERMIC25JUNFUT
2025-06-19 10:57:20.627380,ENTRY,SHORT,1667.1,best_bid,,14553858,NFO:CDSL25JUNFUT
2025-06-19 10:57:20.666140,ENTRY,SHORT,7849.5,best_bid,,14606594,NFO:MCX25JUNFUT
2025-06-19 11:15:51.194190,EXIT,SHORT,7894.0,live,DIRECTION_REVERSAL,14606594,NFO:MCX25JUNFUT
2025-06-19 11:16:07.411059,ENTRY,LONG,7886.5,best_ask,,14606594,NFO:MCX25JUNFUT
2025-06-19 11:21:09.029220,EXIT,LONG,7882.0,live,DIRECTION_REVERSAL,14606594,NFO:MCX25JUNFUT
2025-06-19 11:21:25.440913,ENTRY,SHORT,7882.0,ltp,,14606594,NFO:MCX25JUNFUT
2025-06-19 11:26:25.471686,EXIT,SHORT,7899.0,live,DIRECTION_REVERSAL,14606594,NFO:MCX25JUNFUT
2025-06-19 11:26:40.915696,ENTRY,LONG,7899.0,best_ask,,14606594,NFO:MCX25JUNFUT
2025-06-19 10:57:20.712344,ENTRY,SHORT,387.75,best_bid,,14653186,NFO:TATAPOWER25JUNFUT
2025-06-19 10:57:20.767711,ENTRY,SHORT,183.6,ltp,,14585090,NFO:IEX25JUNFUT
2025-06-19 10:57:20.871447,ENTRY,SHORT,1667.0,best_bid,,5420545,NSE:CDSL
